date;host;searches
01.01.2016;iOS;23833
01.01.2016;mobile_web;8708
02.01.2016;Android;1
02.01.2016;iOS;25793
02.01.2016;mobile_web;9012
03.01.2016;Android;5
03.01.2016;iOS;30181
03.01.2016;mobile_web;10810
04.01.2016;Android;23
04.01.2016;iOS;30813
04.01.2016;mobile_web;11571
05.01.2016;Android;2
05.01.2016;iOS;32686
05.01.2016;mobile_web;11506
06.01.2016;Android;15
06.01.2016;iOS;30060
06.01.2016;mobile_web;7600
07.01.2016;Android;9
07.01.2016;iOS;30269
07.01.2016;mobile_web;8192
08.01.2016;Android;2
08.01.2016;iOS;28034
08.01.2016;mobile_web;10447
09.01.2016;Android;1
09.01.2016;iOS;26034
09.01.2016;mobile_web;8160
10.01.2016;Android;1
10.01.2016;iOS;26732
10.01.2016;mobile_web;9208
11.01.2016;Android;10
11.01.2016;iOS;29001
11.01.2016;mobile_web;9638
12.01.2016;Android;3
12.01.2016;iOS;28923
12.01.2016;mobile_web;9850
13.01.2016;Android;9
13.01.2016;iOS;29108
13.01.2016;mobile_web;7579
14.01.2016;Android;6
14.01.2016;iOS;25887
14.01.2016;mobile_web;8263
15.01.2016;Android;2
15.01.2016;iOS;25429
15.01.2016;mobile_web;7049
16.01.2016;iOS;19569
16.01.2016;mobile_web;7591
17.01.2016;Android;0
17.01.2016;iOS;23925
17.01.2016;mobile_web;8971
18.01.2016;Android;5
18.01.2016;iOS;24237
18.01.2016;mobile_web;7757
18.01.2016;web;0
19.01.2016;Android;7
19.01.2016;iOS;23288
19.01.2016;mobile_web;8852
20.01.2016;Android;10
20.01.2016;iOS;21981
20.01.2016;mobile_web;8577
21.01.2016;Android;7
21.01.2016;iOS;24948
21.01.2016;mobile_web;8285
22.01.2016;Android;3
22.01.2016;iOS;24726
22.01.2016;mobile_web;6224
23.01.2016;iOS;19533
23.01.2016;mobile_web;7494
24.01.2016;iOS;24128
24.01.2016;mobile_web;8674
25.01.2016;Android;10
25.01.2016;iOS;22200
25.01.2016;mobile_web;8002
26.01.2016;Android;4
26.01.2016;iOS;24062
26.01.2016;mobile_web;7041
27.01.2016;Android;5
27.01.2016;iOS;22074
27.01.2016;mobile_web;6720
28.01.2016;Android;4
28.01.2016;iOS;21349
28.01.2016;mobile_web;6743
29.01.2016;Android;10
29.01.2016;iOS;22255
29.01.2016;mobile_web;6548
30.01.2016;Android;10
30.01.2016;iOS;24413
30.01.2016;mobile_web;7498
31.01.2016;Android;11
31.01.2016;iOS;20425
31.01.2016;mobile_web;8654
01.02.2016;Android;20
01.02.2016;iOS;27024
01.02.2016;mobile_web;7888
02.02.2016;Android;21
02.02.2016;iOS;23327
02.02.2016;mobile_web;8356
03.02.2016;Android;24
03.02.2016;iOS;22379
03.02.2016;mobile_web;8670
04.02.2016;Android;16
04.02.2016;iOS;25576
04.02.2016;mobile_web;8047
05.02.2016;Android;42
05.02.2016;iOS;20778
05.02.2016;mobile_web;7556
06.02.2016;Android;32
06.02.2016;iOS;19500
06.02.2016;mobile_web;8478
07.02.2016;Android;41
07.02.2016;iOS;22104
07.02.2016;mobile_web;9725
08.02.2016;Android;477
08.02.2016;iOS;29750
08.02.2016;mobile_web;8285
09.02.2016;Android;529
09.02.2016;iOS;26339
09.02.2016;mobile_web;8492
10.02.2016;Android;623
10.02.2016;iOS;29808
10.02.2016;mobile_web;8749
11.02.2016;Android;2129
11.02.2016;iOS;30635
11.02.2016;mobile_web;7770
12.02.2016;Android;2729
12.02.2016;iOS;23661
12.02.2016;mobile_web;7235
13.02.2016;Android;2579
13.02.2016;iOS;21009
13.02.2016;mobile_web;8508
14.02.2016;Android;2945
14.02.2016;iOS;25544
14.02.2016;mobile_web;7754
15.02.2016;Android;4441
15.02.2016;iOS;31246
15.02.2016;mobile_web;8173
16.02.2016;Android;4611
16.02.2016;iOS;29662
16.02.2016;mobile_web;8404
17.02.2016;Android;4860
17.02.2016;iOS;25651
17.02.2016;mobile_web;8547
18.02.2016;Android;5090
18.02.2016;iOS;30005
18.02.2016;mobile_web;7450
19.02.2016;Android;4179
19.02.2016;iOS;27566
19.02.2016;mobile_web;7023
20.02.2016;Android;4671
20.02.2016;iOS;24350
20.02.2016;mobile_web;6762
21.02.2016;Android;4140
21.02.2016;iOS;25475
21.02.2016;mobile_web;9077
22.02.2016;Android;4612
22.02.2016;iOS;22692
22.02.2016;mobile_web;7969
23.02.2016;Android;4106
23.02.2016;iOS;21742
23.02.2016;mobile_web;9329
24.02.2016;Android;5087
24.02.2016;iOS;26662
24.02.2016;mobile_web;9187
25.02.2016;Android;5459
25.02.2016;iOS;21669
25.02.2016;mobile_web;9316
26.02.2016;Android;5243
26.02.2016;iOS;24663
26.02.2016;mobile_web;9201
27.02.2016;Android;4475
27.02.2016;iOS;21392
27.02.2016;mobile_web;8862
28.02.2016;Android;5172
28.02.2016;iOS;25078
28.02.2016;mobile_web;11064
29.02.2016;Android;4879
29.02.2016;iOS;24351
29.02.2016;mobile_web;10072
01.03.2016;Android;6317
01.03.2016;iOS;26042
01.03.2016;mobile_web;8384
02.03.2016;Android;6285
02.03.2016;iOS;23001
02.03.2016;mobile_web;9107
03.03.2016;Android;5931
03.03.2016;iOS;23239
03.03.2016;mobile_web;9312
04.03.2016;Android;6179
04.03.2016;iOS;24265
04.03.2016;mobile_web;9316
05.03.2016;Android;6125
05.03.2016;iOS;25457
05.03.2016;mobile_web;7628
06.03.2016;Android;5623
06.03.2016;iOS;24022
06.03.2016;mobile_web;8107
07.03.2016;Android;4563
07.03.2016;iOS;22876
07.03.2016;mobile_web;9094
08.03.2016;Android;4907
08.03.2016;iOS;24380
08.03.2016;mobile_web;8269
09.03.2016;Android;7461
09.03.2016;iOS;24429
09.03.2016;mobile_web;8717
10.03.2016;Android;6924
10.03.2016;iOS;29616
10.03.2016;mobile_web;9970
11.03.2016;Android;7089
11.03.2016;iOS;30612
11.03.2016;mobile_web;8146
12.03.2016;Android;6504
12.03.2016;iOS;21186
12.03.2016;mobile_web;8527
13.03.2016;Android;6326
13.03.2016;iOS;24941
13.03.2016;mobile_web;9996
14.03.2016;Android;6243
14.03.2016;iOS;31291
14.03.2016;mobile_web;9834
15.03.2016;Android;7970
15.03.2016;iOS;29972
15.03.2016;mobile_web;11543
16.03.2016;Android;7440
16.03.2016;iOS;27242
16.03.2016;mobile_web;11481
17.03.2016;Android;7105
17.03.2016;iOS;25452
17.03.2016;mobile_web;11075
18.03.2016;Android;6977
18.03.2016;iOS;23896
18.03.2016;mobile_web;10203
19.03.2016;Android;6967
19.03.2016;iOS;28119
19.03.2016;mobile_web;9725
20.03.2016;Android;7004
20.03.2016;iOS;22170
20.03.2016;mobile_web;10581
21.03.2016;Android;7746
21.03.2016;iOS;31288
21.03.2016;mobile_web;10183
22.03.2016;Android;6574
22.03.2016;iOS;28841
22.03.2016;mobile_web;9900
23.03.2016;Android;6538
23.03.2016;iOS;29542
23.03.2016;mobile_web;9761
24.03.2016;Android;7891
24.03.2016;iOS;28395
24.03.2016;mobile_web;8560
25.03.2016;Android;7066
25.03.2016;iOS;28621
25.03.2016;mobile_web;8881
26.03.2016;Android;6074
26.03.2016;iOS;23937
26.03.2016;mobile_web;9119
27.03.2016;Android;7165
27.03.2016;iOS;30225
27.03.2016;mobile_web;9571
28.03.2016;Android;8528
28.03.2016;iOS;31615
28.03.2016;mobile_web;9395
